

Alimentador 0 
DE	PARA	Ia 	 Ib 	Ic 	 Ampacidade 	Carregamento 	Pa	Pb	Pc	Qa	Qb	Qc 
54	55	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6584732  	 1.3124399  	 1.0240481  	 0.2816612  	 0.5546851  	 0.2788966  
55	56	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6584088  	 1.3122494  	 1.0241139  	 0.2816969  	 0.5543915  	 0.2787956  
56	57	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6583815  	 1.3121539  	 1.0241028  	 0.2816958  	 0.5542848  	 0.2787513  
57	58	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6583230  	 1.3119492  	 1.0240791  	 0.2816935  	 0.5540560  	 0.2786561  
58	59	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6582251  	 1.3116067  	 1.0240393  	 0.2816895  	 0.5536733  	 0.2784969  
59	60	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6581273  	 1.3112605  	 1.0239864  	 0.2816858  	 0.5533212  	 0.2783506  
60	61	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6580335  	 1.3109288  	 1.0239357  	 0.2816824  	 0.5529839  	 0.2782103  
61	62	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6579284  	 1.3105568  	 1.0238789  	 0.2816785  	 0.5526055  	 0.2780530  
62	63	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6578330  	 1.3102193  	 1.0238273  	 0.2816750  	 0.5522623  	 0.2779103  
63	64	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6577248  	 1.3098364  	 1.0237688  	 0.2816709  	 0.5518729  	 0.2777483  
64	65	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6576197  	 1.3094647  	 1.0237120  	 0.2816670  	 0.5514948  	 0.2775911  
65	66	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6575114  	 1.3090816  	 1.0236535  	 0.2816630  	 0.5511052  	 0.2774291  
66	67	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6573947  	 1.3086689  	 1.0235905  	 0.2816587  	 0.5506855  	 0.2772546  
67	68	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6572845  	 1.3082788  	 1.0235309  	 0.2816546  	 0.5502889  	 0.2770897  
68	69	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6571827  	 1.3079188  	 1.0234759  	 0.2816508  	 0.5499228  	 0.2769375  
69	70	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6570653  	 1.3075033  	 1.0234124  	 0.2816465  	 0.5495002  	 0.2767618  
70	71	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6569541  	 1.3071100  	 1.0233523  	 0.2816424  	 0.5491001  	 0.2765954  
71	72	 21.0466945 	 42.0336479  	  30.4523906   	   600.0000000  	    7.0056080  	 0.6568397  	 1.3067051  	 1.0232905  	 0.2816381  	 0.5486884  	 0.2764242  
72	73	 21.0466945 	 42.0336479  	  30.4523906   	   270.0000000  	    15.5680177  	 0.6568397  	 1.3067051  	 1.0232905  	 0.2816381  	 0.5486884  	 0.2764242  
73	74	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6561411  	 1.3055942  	 1.0222335  	 0.2813721  	 0.5480400  	 0.2760380  
73	154	 0.0196285 	 0.0259520  	  0.0299584   	   300.0000000  	    0.0099861  	 0.0006125  	 0.0008066  	 0.0010104  	 0.0002627  	 0.0003386  	 0.0002574  
74	75	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6561111  	 1.3054893  	 1.0222213  	 0.2813709  	 0.5479227  	 0.2759892  
75	76	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6560822  	 1.3053880  	 1.0222096  	 0.2813698  	 0.5478095  	 0.2759422  
76	77	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6560531  	 1.3052863  	 1.0221979  	 0.2813686  	 0.5476959  	 0.2758950  
77	78	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6560233  	 1.3051819  	 1.0221858  	 0.2813674  	 0.5475791  	 0.2758465  
78	79	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6559837  	 1.3050434  	 1.0221698  	 0.2813658  	 0.5474242  	 0.2757822  
79	80	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6559442  	 1.3049051  	 1.0221538  	 0.2813643  	 0.5472697  	 0.2757180  
80	81	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6559066  	 1.3047735  	 1.0221385  	 0.2813628  	 0.5471226  	 0.2756569  
81	82	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6558709  	 1.3046487  	 1.0221241  	 0.2813613  	 0.5469830  	 0.2755989  
82	83	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6558369  	 1.3045295  	 1.0221103  	 0.2813600  	 0.5468499  	 0.2755436  
83	84	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6558012  	 1.3044034  	 1.0220911  	 0.2813587  	 0.5467216  	 0.2754903  
84	85	 21.0270660 	 42.0076958  	  30.4224352   	   270.0000000  	    15.5584059  	 0.6557675  	 1.3042854  	 1.0220774  	 0.2813573  	 0.5465897  	 0.2754355  
85	86	 20.8524319 	 41.7471953  	  30.1045990   	   270.0000000  	    15.4619242  	 0.6502858  	 1.2960729  	 1.0112227  	 0.2790192  	 0.5430611  	 0.2731021  
85	141	 0.1746341 	 0.2605006  	  0.3183458   	   300.0000000  	    0.1061153  	 0.0054460  	 0.0080874  	 0.0108402  	 0.0023367  	 0.0033887  	 0.0022753  
86	87	 20.8524319 	 41.7471953  	  30.1045990   	   270.0000000  	    15.4619242  	 0.6502249  	 1.2958601  	 1.0111986  	 0.2790167  	 0.5428226  	 0.2730042  
